,real,predict
1990-01-02,94.25,
1990-01-03,94.45,
1990-01-04,92.53999,
1990-01-05,93.06,
1990-01-08,92.05,
1990-01-09,92.36,
1990-01-10,92.5,
1990-01-11,92.44,
1990-01-12,92.56,
1990-01-15,92.95,
1990-01-16,92.87,
1990-01-17,92.77,
1990-01-18,93.78,
1990-01-19,93.75999,
1990-01-22,94.36,
1990-01-23,93.05,
1990-01-24,92.87,
1990-01-25,92.57001,
1990-01-26,92.53,
1990-01-29,91.99001,
1990-01-30,92.91,
1990-01-31,92.55,
1990-02-01,92.17999,
1990-02-02,92.44,
1990-02-05,91.49001,
1990-02-06,91.45,
1990-02-07,91.67999,
1990-02-08,91.92,
1990-02-09,91.94,
1990-02-12,92.11,
1990-02-13,92.21001,
1990-02-14,92.25,
1990-02-15,92.89,
1990-02-16,92.07001,
1990-02-20,91.78,
1990-02-21,91.88,
1990-02-22,91.84,
1990-02-23,92.2,
1990-02-26,92.71001,
1990-02-27,92.83,
1990-02-28,93.39,
1990-03-01,93.96001,
1990-03-02,94.14999,
1990-03-05,93.36,
1990-03-06,93.59,
1990-03-07,93.37,
1990-03-08,93.62,
1990-03-09,93.89,
1990-03-12,94.42999,
1990-03-13,94.28,
1990-03-14,94.2,
1990-03-15,93.74001,
1990-03-16,93.82001,
1990-03-19,93.49001,
1990-03-20,94.3,
1990-03-21,94.57001,
1990-03-22,94.19,
1990-03-23,94.39,
1990-03-26,94.36,
1990-03-27,94.55,
1990-03-28,94.47,
1990-03-29,93.58,
1990-03-30,93.77,
1990-04-02,94.10001,
1990-04-03,93.99001,
1990-04-04,94.00999,
1990-04-05,93.85001,
1990-04-06,93.7,
1990-04-09,93.64,
1990-04-10,92.97,
1990-04-11,92.87,
1990-04-12,92.91,
1990-04-16,93.35001,
1990-04-17,93.31,
1990-04-18,92.94,
1990-04-19,93.08,
1990-04-20,93.39,
1990-04-23,93.8,
1990-04-24,93.83,
1990-04-25,93.08,
1990-04-26,93.17,
1990-04-27,93.08,
1990-04-30,93.08,
1990-05-01,93.14,
1990-05-02,93.21001,
1990-05-03,93.16,
1990-05-04,92.42999,
1990-05-07,92.03999,
1990-05-08,92.00999,
1990-05-09,91.16,
1990-05-10,91.03,
1990-05-11,91.06,
1990-05-14,91.11,
1990-05-15,91.14999,
1990-05-16,91.24001,
1990-05-17,91.25,
1990-05-18,91.38,
1990-05-21,91.94,
1990-05-22,91.97,
1990-05-23,92.07001,
1990-05-24,92.41,
1990-05-25,92.17,
1990-05-29,91.98,
1990-05-30,92.33,
1990-05-31,92.92999,
1990-06-01,92.99001,
1990-06-04,92.67999,
1990-06-05,92.59,
1990-06-06,92.61,
1990-06-07,92.8,
1990-06-08,93.08,
1990-06-11,92.92999,
1990-06-12,92.94,
1990-06-13,92.53999,
1990-06-14,92.73,
1990-06-15,92.59,
1990-06-18,92.02,
1990-06-19,91.91,
1990-06-20,92.06,
1990-06-21,92.11,
1990-06-22,91.97,
1990-06-25,92.10001,
1990-06-26,91.46001,
1990-06-27,91.53,
1990-06-28,91.67999,
1990-06-29,91.14999,
1990-07-02,90.50999,
1990-07-03,90.42999,
1990-07-05,90.41,
1990-07-06,90.5,
1990-07-09,90.27,
1990-07-10,89.58,
1990-07-11,90.17999,
1990-07-12,89.38,
1990-07-13,90.06,
1990-07-16,90.19,
1990-07-17,89.69,
1990-07-18,89.84,
